ProbeID	Ptr	Name	Description
200012_x_at	19811	RPL21 /// RPL21P28 /// SNORA27 /// SNORD102	 ribosomal protein L21 /// ribosomal protein L21 pseudogene 28 /// small nucleolar RNA, H/ACA box 27 /// small nucleolar RNA, C/D box 102
200013_at	20173	RPL24	 ribosomal protein L24
200014_s_at	20378	HNRNPC	 heterogeneous nuclear ribonucleoprotein C (C1/C2)
200015_s_at	20615	SEPT2	 septin 2
200016_x_at	20809	HNRNPA1 /// HNRNPA1P10	 heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
200017_at	21116	RPS27A	 ribosomal protein S27a
200018_at	21325	LOC100508408 /// RPS13 /// SNORD14B	 uncharacterized LOC100508408 /// ribosomal protein S13 /// small nucleolar RNA, C/D box 14B
200019_s_at	21631	FAU	 Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed
200020_at	21892	TARDBP	 TAR DNA binding protein
200021_at	22101	CFL1	 cofilin 1 (non-muscle)
200022_at	22307	RPL18	 ribosomal protein L18
200023_s_at	22513	EIF3F	 eukaryotic translation initiation factor 3, subunit F
200024_at	22754	RPS5	 ribosomal protein S5
200025_s_at	22957	RPL27	 ribosomal protein L27
200026_at	23165	RPL34	 ribosomal protein L34
200027_at	23371	NARS	 asparaginyl-tRNA synthetase
200028_s_at	23583	STARD7	 StAR-related lipid transfer (START) domain containing 7
200029_at	23826	RPL19	 ribosomal protein L19
200030_s_at	24031	SLC25A3	 solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3
200031_s_at	24298	RPS11 /// SNORD35B	 ribosomal protein S11 /// small nucleolar RNA, C/D box 35B
200032_s_at	24554	RPL9	 ribosomal protein L9
200033_at	24758	DDX5 /// MIR3064 /// MIR5047	 DEAD (Asp-Glu-Ala-Asp) box helicase 5 /// microRNA 3064 /// microRNA 5047
200034_s_at	25040	RPL6	 ribosomal protein L6
200035_at	25247	CTDNEP1	 CTD nuclear envelope phosphatase 1
200036_s_at	25467	RPL10A	 ribosomal protein L10a
200037_s_at	25678	CBX3	 chromobox homolog 3
200038_s_at	25881	C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C	 chromosome 18 open reading frame 32 /// ribosomal protein L17 /// RPL17-C18orf32 readthrough /// small nucleolar RNA, C/D box 58A /// small nucleolar RNA, C/D box 58B /// small nucleolar RNA, C/D box 58C
200039_s_at	26343	PSMB2	 proteasome (prosome, macropain) subunit, beta type, 2
200040_at	26583	KHDRBS1	 KH domain containing, RNA binding, signal transduction associated 1
200041_s_at	26837	ATP6V1G2-DDX39B /// DDX39B /// SNORD84	 ATP6V1G2-DDX39B readthrough (NMD candidate) /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B /// small nucleolar RNA, C/D box 84
200042_at	27184	RTCB	 RNA 2',3'-cyclic phosphate and 5'-OH ligase
200043_at	27411	ERH	 enhancer of rudimentary homolog (Drosophila)
200044_at	27639	GATC /// SRSF9	 glutamyl-tRNA(Gln) amidotransferase, subunit C /// serine/arginine-rich splicing factor 9
200045_at	27921	ABCF1	 ATP-binding cassette, sub-family F (GCN20), member 1
200046_at	28159	DAD1	 defender against cell death 1
200047_s_at	28373	YY1	 YY1 transcription factor
200048_s_at	28582	JTB	 jumping translocation breakpoint
200049_at	28799	KAT7	 K(lysine) acetyltransferase 7
200050_at	29011	ZNF146	 zinc finger protein 146
200051_at	29220	SART1	 squamous cell carcinoma antigen recognized by T cells
200052_s_at	29459	ILF2	 interleukin enhancer binding factor 2
200053_at	29682	SPAG7	 sperm associated antigen 7
200054_at	29889	ZPR1	 ZPR1 zinc finger
200055_at	30088	TAF10	 TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa
200056_s_at	30352	C1D	 C1D nuclear receptor corepressor
200057_s_at	30569	NONO	 non-POU domain containing, octamer-binding
200058_s_at	30798	LOC101929240 /// SNRNP200	 U5 small nuclear ribonucleoprotein 200 kDa helicase-like /// small nuclear ribonucleoprotein 200kDa (U5)
200059_s_at	31109	RHOA	 ras homolog family member A
200060_s_at	31321	RNPS1	 RNA binding protein S1, serine-rich domain
200061_s_at	31548	RPS24	 ribosomal protein S24
200062_s_at	31754	RPL30	 ribosomal protein L30
200063_s_at	31961	NPM1	 nucleophosmin (nucleolar phosphoprotein B23, numatrin)
200064_at	32202	HSP90AB1	 heat shock protein 90kDa alpha (cytosolic), class B member 1
200065_s_at	32451	ARF1 /// MIR3620	 ADP-ribosylation factor 1 /// microRNA 3620
200066_at	32692	IK	 IK cytokine, down-regulator of HLA II
200067_x_at	32912	SNX3	 sorting nexin 3
200068_s_at	33114	CANX	 calnexin
200069_at	33308	SART3	 squamous cell carcinoma antigen recognized by T cells 3
200070_at	33545	CNPPD1	 cyclin Pas1/PHO80 domain containing 1
200071_at	33769	SMNDC1	 survival motor neuron domain containing 1
200072_s_at	33995	HNRNPM	 heterogeneous nuclear ribonucleoprotein M
200073_s_at	34224	HNRNPD	 heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
200074_s_at	34499	RPL14	 ribosomal protein L14
200075_s_at	34705	GUK1	 guanylate kinase 1
200076_s_at	34907	KXD1	 KxDL motif containing 1
200077_s_at	35116	OAZ1	 ornithine decarboxylase antizyme 1
200078_s_at	35335	ATP6V0B	 ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
200079_s_at	35577	KARS	 lysyl-tRNA synthetase
200080_s_at	35785	H3F3A /// H3F3AP4 /// H3F3B	 H3 histone, family 3A /// H3 histone, family 3A, pseudogene 4 /// H3 histone, family 3B (H3.3B)
200081_s_at	36087	RPS6	 ribosomal protein S6
200082_s_at	36291	RPS7	 ribosomal protein S7
200083_at	36497	USP22	 ubiquitin specific peptidase 22
200084_at	36714	C11orf58	 chromosome 11 open reading frame 58
200085_s_at	36937	TCEB2	 transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)
200086_s_at	37196	COX4I1	 cytochrome c oxidase subunit IV isoform 1
200087_s_at	37425	TMED2	 transmembrane emp24 domain trafficking protein 2
200088_x_at	37659	NBEAL1 /// RPL12	 neurobeachin-like 1 /// ribosomal protein L12
200089_s_at	37901	RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C	 ribosomal protein L4 /// small nucleolar RNA, C/D box 16 /// small nucleolar RNA, C/D box 18A /// small nucleolar RNA, C/D box 18B /// small nucleolar RNA, C/D box 18C
200090_at	38302	FNTA	 farnesyltransferase, CAAX box, alpha
200091_s_at	38521	RPS25	 ribosomal protein S25
200092_s_at	38727	RPL37	 ribosomal protein L37
200093_s_at	38936	HINT1	 histidine triad nucleotide binding protein 1
200094_s_at	39166	EEF2	 eukaryotic translation elongation factor 2
200095_x_at	39394	RPS10	 ribosomal protein S10
200096_s_at	39603	ATP6V0E1	 ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
200097_s_at	39847	HNRNPK	 heterogeneous nuclear ribonucleoprotein K
200098_s_at	40077	ANAPC5	 anaphase promoting complex subunit 5
200099_s_at	40302	RPS3A /// SNORD73A	 ribosomal protein S3A /// small nucleolar RNA, C/D box 73A
200593_s_at	40561	HNRNPU	 heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200594_x_at	40822	HNRNPU	 heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200595_s_at	41082	EIF3A	 eukaryotic translation initiation factor 3, subunit A
200596_s_at	41322	EIF3A	 eukaryotic translation initiation factor 3, subunit A
200597_at	41563	EIF3A	 eukaryotic translation initiation factor 3, subunit A
200598_s_at	41797	HSP90B1 /// MIR3652	 heat shock protein 90kDa beta (Grp94), member 1 /// microRNA 3652
200599_s_at	42064	HSP90B1 /// MIR3652	 heat shock protein 90kDa beta (Grp94), member 1 /// microRNA 3652
200600_at	42329	MSN	 moesin
200601_at	42519	ACTN4	 actinin, alpha 4
200602_at	42721	APP	 amyloid beta (A4) precursor protein
200603_at	42937	PRKAR1A	 protein kinase, cAMP-dependent, regulatory, type I, alpha
200604_s_at	43180	PRKAR1A	 protein kinase, cAMP-dependent, regulatory, type I, alpha
200605_s_at	43424	PRKAR1A	 protein kinase, cAMP-dependent, regulatory, type I, alpha
200606_at	43671	DSP	 desmoplakin
200607_s_at	43865	RAD21	 RAD21 homolog (S. pombe)
200608_s_at	44075	RAD21	 RAD21 homolog (S. pombe)
200609_s_at	44287	WDR1	 WD repeat domain 1
200610_s_at	44492	NCL	 nucleolin
200611_s_at	44685	WDR1	 WD repeat domain 1
200612_s_at	44888	AP2B1	 adaptor-related protein complex 2, beta 1 subunit
200613_at	45122	AP2M1	 adaptor-related protein complex 2, mu 1 subunit
200614_at	45354	CLTC	 clathrin, heavy chain (Hc)
200615_s_at	45563	AP2B1	 adaptor-related protein complex 2, beta 1 subunit
200616_s_at	45796	MLEC	 malectin
200617_at	45990	MLEC	 malectin
200618_at	46183	LASP1	 LIM and SH3 protein 1
200619_at	46389	SF3B2	 splicing factor 3b, subunit 2, 145kDa
200620_at	46610	TMEM59	 transmembrane protein 59
200621_at	46820	CSRP1	 cysteine and glycine-rich protein 1
200622_x_at	47040	CALM1 /// CALM2 /// CALM3	 calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)
200623_s_at	47384	CALM1 /// CALM2 /// CALM3	 calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)
200624_s_at	47728	MATR3 /// SNHG4	 matrin 3 /// small nucleolar RNA host gene 4 (non-protein coding)
200625_s_at	47991	CAP1	 CAP, adenylate cyclase-associated protein 1 (yeast)
200626_s_at	48228	MATR3 /// SNHG4	 matrin 3 /// small nucleolar RNA host gene 4 (non-protein coding)
200627_at	48490	PTGES3	 prostaglandin E synthase 3 (cytosolic)
200628_s_at	48713	WARS	 tryptophanyl-tRNA synthetase
200629_at	48926	WARS	 tryptophanyl-tRNA synthetase
200630_x_at	49138	SET /// SETSIP	 SET nuclear proto-oncogene /// SET-like protein
200631_s_at	49381	SET /// SETSIP	 SET nuclear proto-oncogene /// SET-like protein
200632_s_at	49624	NDRG1	 N-myc downstream regulated 1
200633_at	49839	UBB	 ubiquitin B
200634_at	50033	PFN1	 profilin 1
200635_s_at	50228	PTPRF	 protein tyrosine phosphatase, receptor type, F
200636_s_at	50460	PTPRF	 protein tyrosine phosphatase, receptor type, F
200637_s_at	50690	PTPRF	 protein tyrosine phosphatase, receptor type, F
200638_s_at	50924	YWHAZ	 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta
200639_s_at	51184	YWHAZ	 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta
200640_at	51447	YWHAZ	 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta
200641_s_at	51707	YWHAZ	 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta
200642_at	51971	SOD1	 superoxide dismutase 1, soluble
200643_at	52184	HDLBP	 high density lipoprotein binding protein
200644_at	52408	MARCKSL1	 MARCKS-like 1
200645_at	52609	GABARAP	 GABA(A) receptor-associated protein
200646_s_at	52829	NUCB1	 nucleobindin 1
200647_x_at	53031	EIF3C /// EIF3CL	 eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like
200648_s_at	53345	GLUL	 glutamate-ammonia ligase
200649_at	53556	NUCB1	 nucleobindin 1
200650_s_at	53756	LDHA	 lactate dehydrogenase A
200651_at	53966	GNB2L1 /// SNORD95 /// SNORD96A	 guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 /// small nucleolar RNA, C/D box 95 /// small nucleolar RNA, C/D box 96A
200652_at	54322	SSR2	 signal sequence receptor, beta (translocon-associated protein beta)
200653_s_at	54571	CALM1 /// CALM2 /// CALM3	 calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)
200654_at	54915	P4HB	 prolyl 4-hydroxylase, beta polypeptide
200655_s_at	55137	CALM1 /// CALM2 /// CALM3	 calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)
200656_s_at	55479	P4HB	 prolyl 4-hydroxylase, beta polypeptide
200657_at	55704	SLC25A5	 solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
200658_s_at	55983	PHB	 prohibitin
200659_s_at	56177	PHB	 prohibitin
200660_at	56371	S100A11	 S100 calcium binding protein A11
200661_at	56589	CTSA	 cathepsin A
200662_s_at	56783	TOMM20	 translocase of outer mitochondrial membrane 20 homolog (yeast)
200663_at	57031	CD63	 CD63 molecule
200664_s_at	57227	DNAJB1	 DnaJ (Hsp40) homolog, subfamily B, member 1
200665_s_at	57459	SPARC	 secreted protein, acidic, cysteine-rich (osteonectin)
200666_s_at	57699	DNAJB1	 DnaJ (Hsp40) homolog, subfamily B, member 1
200667_at	57930	UBE2D3	 ubiquitin-conjugating enzyme E2D 3
200668_s_at	58149	UBE2D3	 ubiquitin-conjugating enzyme E2D 3
200669_s_at	58368	UBE2D3	 ubiquitin-conjugating enzyme E2D 3
200670_at	58590	XBP1	 X-box binding protein 1
200671_s_at	58798	SPTBN1	 spectrin, beta, non-erythrocytic 1
200672_x_at	59021	SPTBN1	 spectrin, beta, non-erythrocytic 1
200673_at	59242	LAPTM4A	 lysosomal protein transmembrane 4 alpha
200674_s_at	59468	RPL32	 ribosomal protein L32
200675_at	59677	CD81	 CD81 molecule
200676_s_at	59872	UBE2L3	 ubiquitin-conjugating enzyme E2L 3
200677_at	60095	PTTG1IP	 pituitary tumor-transforming 1 interacting protein
200678_x_at	60331	GRN	 granulin
200679_x_at	60524	HMGB1	 high mobility group box 1
200680_x_at	60735	HMGB1	 high mobility group box 1
200681_at	60947	GLO1	 glyoxalase I
200682_s_at	61143	UBE2L3	 ubiquitin-conjugating enzyme E2L 3
200683_s_at	61364	UBE2L3	 ubiquitin-conjugating enzyme E2L 3
200684_s_at	61582	UBE2L3	 ubiquitin-conjugating enzyme E2L 3
200685_at	61802	SRSF11	 serine/arginine-rich splicing factor 11
200686_s_at	62026	SRSF11	 serine/arginine-rich splicing factor 11
200687_s_at	62252	SF3B3	 splicing factor 3b, subunit 3, 130kDa
200688_at	62477	SF3B3	 splicing factor 3b, subunit 3, 130kDa
200689_x_at	62700	EEF1G /// MIR3654	 eukaryotic translation elongation factor 1 gamma /// microRNA 3654
200690_at	62966	HSPA9	 heat shock 70kDa protein 9 (mortalin)
200691_s_at	63188	HSPA9	 heat shock 70kDa protein 9 (mortalin)
200692_s_at	63411	HSPA9	 heat shock 70kDa protein 9 (mortalin)
200693_at	63636	YWHAQ	 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta
200694_s_at	63898	DDX24	 DEAD (Asp-Glu-Ala-Asp) box helicase 24
200695_at	64124	PPP2R1A	 protein phosphatase 2, regulatory subunit A, alpha
200696_s_at	64362	GSN	 gelsolin
200697_at	64556	HK1	 hexokinase 1
200698_at	64749	KDELR2	 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200699_at	65006	KDELR2	 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200700_s_at	65265	KDELR2	 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200701_at	65526	NPC2	 Niemann-Pick disease, type C2
200702_s_at	65739	DDX24	 DEAD (Asp-Glu-Ala-Asp) box helicase 24
200703_at	65965	DYNLL1	 dynein, light chain, LC8-type 1
200704_at	66181	LITAF	 lipopolysaccharide-induced TNF factor
200705_s_at	66404	EEF1B2 /// SNORA41	 eukaryotic translation elongation factor 1 beta 2 /// small nucleolar RNA, H/ACA box 41
200706_s_at	66691	LITAF	 lipopolysaccharide-induced TNF factor
200707_at	66914	PRKCSH	 protein kinase C substrate 80K-H
200708_at	67132	GOT2	 glutamic-oxaloacetic transaminase 2, mitochondrial
200709_at	67366	FKBP1A /// LOC101929368	 FK506 binding protein 1A, 12kDa /// uncharacterized LOC101929368
200710_at	67633	ACADVL	 acyl-CoA dehydrogenase, very long chain
200711_s_at	67858	SKP1	 S-phase kinase-associated protein 1
200712_s_at	68078	MAPRE1	 microtubule-associated protein, RP/EB family, member 1
200713_s_at	68319	MAPRE1	 microtubule-associated protein, RP/EB family, member 1
200714_x_at	68561	OS9	 osteosarcoma amplified 9, endoplasmic reticulum lectin
200715_x_at	68798	RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	 ribosomal protein L13a /// small nucleolar RNA, C/D box 32A /// small nucleolar RNA, C/D box 33 /// small nucleolar RNA, C/D box 34 /// small nucleolar RNA, C/D box 35A
200716_x_at	69205	RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	 ribosomal protein L13a /// ribosomal protein L13a pseudogene 5 /// small nucleolar RNA, C/D box 32A /// small nucleolar RNA, C/D box 33 /// small nucleolar RNA, C/D box 34 /// small nucleolar RNA, C/D box 35A
200717_x_at	69662	RPL7	 ribosomal protein L7
200718_s_at	69868	SKP1	 S-phase kinase-associated protein 1
200719_at	70089	SKP1	 S-phase kinase-associated protein 1
200720_s_at	70309	ACTR1A	 ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
200721_s_at	70561	ACTR1A	 ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
200722_s_at	70812	CAPRIN1	 cell cycle associated protein 1
200723_s_at	71031	CAPRIN1	 cell cycle associated protein 1
200724_at	71247	RPL10 /// SNORA70	 ribosomal protein L10 /// small nucleolar RNA, H/ACA box 70
200725_x_at	71503	RPL10 /// SNORA70	 ribosomal protein L10 /// small nucleolar RNA, H/ACA box 70
200726_at	71760	PPP1CC	 protein phosphatase 1, catalytic subunit, gamma isozyme
200727_s_at	72001	ACTR2	 ARP2 actin-related protein 2 homolog (yeast)
200728_at	72231	ACTR2	 ARP2 actin-related protein 2 homolog (yeast)
200729_s_at	72460	ACTR2	 ARP2 actin-related protein 2 homolog (yeast)
200730_s_at	72691	PTP4A1	 protein tyrosine phosphatase type IVA, member 1
200731_s_at	72925	PTP4A1	 protein tyrosine phosphatase type IVA, member 1
200732_s_at	73160	PTP4A1	 protein tyrosine phosphatase type IVA, member 1
200733_s_at	73395	PTP4A1	 protein tyrosine phosphatase type IVA, member 1
200734_s_at	73631	ARF3	 ADP-ribosylation factor 3
200735_x_at	73842	NACA	 nascent polypeptide-associated complex alpha subunit
200736_s_at	74080	GPX1	 glutathione peroxidase 1
200737_at	74291	PGK1	 phosphoglycerate kinase 1
200738_s_at	74501	PGK1	 phosphoglycerate kinase 1
200739_s_at	74712	SUMO3	 small ubiquitin-like modifier 3
200740_s_at	74930	SUMO3	 small ubiquitin-like modifier 3
200741_s_at	75149	RPS27	 ribosomal protein S27
200742_s_at	75358	TPP1	 tripeptidyl peptidase I
200743_s_at	75566	TPP1	 tripeptidyl peptidase I
200744_s_at	75775	GNB1	 guanine nucleotide binding protein (G protein), beta polypeptide 1
200745_s_at	76026	GNB1	 guanine nucleotide binding protein (G protein), beta polypeptide 1
200746_s_at	76277	GNB1	 guanine nucleotide binding protein (G protein), beta polypeptide 1
200747_s_at	76530	NUMA1	 nuclear mitotic apparatus protein 1
200748_s_at	76751	FTH1	 ferritin, heavy polypeptide 1
200749_at	76965	RAN	 RAN, member RAS oncogene family
200750_s_at	77180	RAN	 RAN, member RAS oncogene family
200751_s_at	77393	HNRNPC	 heterogeneous nuclear ribonucleoprotein C (C1/C2)
200752_s_at	77630	CAPN1	 calpain 1, (mu/I) large subunit
200753_x_at	77847	MIR636 /// SRSF2	 microRNA 636 /// serine/arginine-rich splicing factor 2
200754_x_at	78100	MIR636 /// SRSF2	 microRNA 636 /// serine/arginine-rich splicing factor 2
200755_s_at	78353	CALU	 calumenin
200756_x_at	78548	CALU	 calumenin
200757_s_at	78743	CALU	 calumenin
200758_s_at	78939	NFE2L1	 nuclear factor, erythroid 2-like 1
200759_x_at	79161	NFE2L1	 nuclear factor, erythroid 2-like 1
200760_s_at	79382	ARL6IP5	 ADP-ribosylation factor-like 6 interacting protein 5
200761_s_at	79622	ARL6IP5	 ADP-ribosylation factor-like 6 interacting protein 5
200762_at	79862	DPYSL2	 dihydropyrimidinase-like 2
200763_s_at	80074	RPLP1	 ribosomal protein, large, P1
200764_s_at	80288	CTNNA1	 catenin (cadherin-associated protein), alpha 1, 102kDa
200765_x_at	80527	CTNNA1	 catenin (cadherin-associated protein), alpha 1, 102kDa
200766_at	80769	CTSD	 cathepsin D
200767_s_at	80965	FAM120A	 family with sequence similarity 120A
200768_s_at	81189	MAT2A	 methionine adenosyltransferase II, alpha
200769_s_at	81414	MAT2A	 methionine adenosyltransferase II, alpha
200770_s_at	81641	LAMC1	 laminin, gamma 1 (formerly LAMB2)
200771_at	81862	LAMC1	 laminin, gamma 1 (formerly LAMB2)
200772_x_at	82080	LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA	 prothymosin alpha-like /// prothymosin alpha-like /// microRNA 1244-1 /// microRNA 1244-2 /// microRNA 1244-3 /// prothymosin, alpha
200773_x_at	82468	PTMA	 prothymosin, alpha
200774_at	82672	FAM120A	 family with sequence similarity 120A
200775_s_at	82896	HNRNPK	 heterogeneous nuclear ribonucleoprotein K
200776_s_at	83125	BZW1	 basic leucine zipper and W2 domains 1
200777_s_at	83347	BZW1	 basic leucine zipper and W2 domains 1
200778_s_at	83568	SEPT2	 septin 2
200779_at	83763	ATF4	 activating transcription factor 4
200780_x_at	83980	GNAS	 GNAS complex locus
200781_s_at	84185	RPS15A	 ribosomal protein S15a
